id,name,copies,parchmentType,sourceLine,sourceText,scoringStatus,scoringSpec,notes,openItemRefs
royal_ring,Royal Ring,1,treasure,1,1 carrot,draft_from_source,"{""type"":""fixed_points"",""points"":1}",,
royal_coat,Royal Coat,1,treasure,2,2 carrots,draft_from_source,"{""type"":""fixed_points"",""points"":2}",,
royal_scepter,Royal Scepter,1,treasure,3,3 carrots,draft_from_source,"{""type"":""fixed_points"",""points"":3}",,
royal_chalice,Royal Chalice,1,treasure,4,4 carrots,draft_from_source,"{""type"":""fixed_points"",""points"":4}",,
royal_crown,Royal Crown,1,treasure,5,5 carrots,draft_from_source,"{""type"":""fixed_points"",""points"":5}",,
royal_carrot,Royal Carrot,1,treasure,6,6 carrots,draft_from_source,"{""type"":""fixed_points"",""points"":6}",,
left_glove,Left Glove,1,treasure,7,"1 carrot alone; if you also have Right Glove, each glove is worth 4 → 8 total",draft_from_source,"{""type"":""paired_treasure"",""partnerCardId"":""right_glove"",""pointsAlone"":1,""pointsWithPartner"":4}",,
right_glove,Right Glove,1,treasure,8,same as Left Glove,draft_from_source,"{""type"":""paired_treasure"",""partnerCardId"":""left_glove"",""pointsAlone"":1,""pointsWithPartner"":4}",The source abbreviates this as the same as Left Glove; the reciprocal pairing is made explicit using rulebook page 11.,
bureaucrat,Bureaucrat,1,mission,9,"1 carrot for each Parchment you own, including this one",draft_from_source,"{""type"":""points_per_count"",""metric"":""owned_parchments"",""pointsPerItem"":1,""includesSelf"":true}",,
burgomaster,Burgomaster,1,mission,10,1 carrot per City,draft_from_source,"{""type"":""points_per_count"",""metric"":""controlled_cities"",""pointsPerItem"":1}","Count cities, not their towers/strength (rulebook page 10).",
diplomat,Diplomat,1,mission,11,1 carrot per territory you control along the outside edge of the board,draft_from_source,"{""type"":""points_per_count"",""metric"":""controlled_border_territories"",""pointsPerItem"":1,""countEachTerritoryOnce"":true}","Count a controlled border territory once, including corners. Border and corner definitions here refer to the original rectangular board.",
