coordinate,row,column,terrain,baseResource,startingCityStrength,lavaBlockedNeighbors
A1,A,1,forest,wood,0,
A2,A,2,forest,wood,0,
A3,A,3,forest,wood,0,
A4,A,4,city,,1,
A5,A,5,sea,fish,0,
A6,A,6,sea,fish,0,
A7,A,7,sea,fish,0,
A8,A,8,forest,wood,0,
A9,A,9,plains,,0,
A10,A,10,sea,fish,0,
B1,B,1,mountain,,0,B2
B2,B,2,mountain,,0,B1
B3,B,3,city,,1,
B4,B,4,sea,fish,0,
B5,B,5,sea,fish,0,
B6,B,6,mountain,,0,C6
B7,B,7,city,,1,
B8,B,8,plains,,0,
B9,B,9,city,,1,
B10,B,10,sea,fish,0,
C1,C,1,city,,1,
C2,C,2,mountain,,0,D2
C3,C,3,plains,,0,
C4,C,4,sea,fish,0,
C5,C,5,sea,fish,0,
C6,C,6,mountain,,0,B6
C7,C,7,field,carrots,0,
C8,C,8,mountain,,0,C9
C9,C,9,mountain,,0,C8
C10,C,10,plains,,0,
D1,D,1,plains,,0,
D2,D,2,mountain,,0,C2
D3,D,3,city,,1,
D4,D,4,field,carrots,0,
D5,D,5,mountain,,0,D6
D6,D,6,mountain,,0,D5
D7,D,7,field,carrots,0,
D8,D,8,plains,,0,
D9,D,9,city,,1,
D10,D,10,forest,wood,0,
E1,E,1,forest,wood,0,
E2,E,2,plains,,0,
E3,E,3,field,carrots,0,
E4,E,4,plains,,0,
E5,E,5,plains,,0,
E6,E,6,city,,1,
E7,E,7,plains,,0,
E8,E,8,field,carrots,0,
E9,E,9,plains,,0,
E10,E,10,city,,1,
F1,F,1,forest,wood,0,
F2,F,2,mountain,,0,F3
F3,F,3,mountain,,0,F2
F4,F,4,forest,wood,0,
F5,F,5,forest,wood,0,
F6,F,6,plains,,0,
F7,F,7,field,carrots,0,
F8,F,8,city,,1,
F9,F,9,forest,wood,0,
F10,F,10,plains,,0,
G1,G,1,forest,wood,0,
G2,G,2,city,,1,
G3,G,3,plains,,0,
G4,G,4,plains,,0,
G5,G,5,city,,1,
G6,G,6,plains,,0,
G7,G,7,field,carrots,0,
G8,G,8,plains,,0,
G9,G,9,city,,1,
G10,G,10,plains,,0,
H1,H,1,plains,,0,
H2,H,2,field,carrots,0,
H3,H,3,city,,1,
H4,H,4,field,carrots,0,
H5,H,5,plains,,0,
H6,H,6,plains,,0,
H7,H,7,city,,1,
H8,H,8,plains,,0,
H9,H,9,plains,,0,
H10,H,10,forest,wood,0,
I1,I,1,city,,1,
I2,I,2,plains,,0,
I3,I,3,plains,,0,
I4,I,4,sea,fish,0,
I5,I,5,sea,fish,0,
I6,I,6,plains,,0,
I7,I,7,mountain,,0,J7
I8,I,8,mountain,,0,J8
I9,I,9,city,,1,
I10,I,10,forest,wood,0,
J1,J,1,forest,wood,0,
J2,J,2,forest,wood,0,
J3,J,3,city,,1,
J4,J,4,sea,fish,0,
J5,J,5,sea,fish,0,
J6,J,6,field,carrots,0,
J7,J,7,mountain,,0,I7
J8,J,8,mountain,,0,I8
J9,J,9,sea,fish,0,
J10,J,10,sea,fish,0,
